stem,class,gt_area,04,07,06a,06b
apple017S(1),apple,37455,0.9518|0.9753|39201,0.9489|0.9738|39403,0.9744|0.9870|36906,0.9895|0.9947|37061
apple017S(10),apple,41228,0.9704|0.9850|42074,0.9705|0.9850|42115,0.9671|0.9833|42099,0.9952|0.9976|41038
apple017S(11),apple,40853,0.9728|0.9862|41799,0.9640|0.9817|42183,0.9699|0.9847|41127,0.9953|0.9977|40663
apple017S(12),apple,39270,0.9687|0.9841|40208,0.9556|0.9773|40813,0.9576|0.9783|39557,0.9890|0.9945|38840
apple017S(13),apple,40368,0.9705|0.9851|41319,0.9644|0.9819|41751,0.9886|0.9942|40636,0.9989|0.9994|40331
apple017S(14),apple,37363,0.9633|0.9813|38435,0.9647|0.9820|38443,0.9793|0.9895|37507,0.9948|0.9974|37169
apple017S(15),apple,42044,0.9594|0.9793|43678,0.9586|0.9788|43723,0.9796|0.9897|41971,0.9951|0.9975|41840
apple017S(16),apple,38191,0.9688|0.9842|38826,0.9684|0.9840|38770,0.9855|0.9927|38167,0.9965|0.9982|38059
apple017S(17),apple,39835,0.9618|0.9805|41187,0.9616|0.9804|41232,0.9768|0.9883|40607,0.9999|1.0000|39832
apple017S(18),apple,38892,0.9624|0.9809|39960,0.9603|0.9798|40347,0.9768|0.9883|38555,0.9929|0.9964|38616
apple017S(19),apple,37142,0.9567|0.9779|38666,0.9547|0.9768|38837,0.9740|0.9868|36663,0.9897|0.9948|36761
apple017S(2),apple,39631,0.9676|0.9835|40735,0.9686|0.9840|40645,0.9733|0.9865|40331,0.9961|0.9980|39484
apple017S(20),apple,38937,0.9666|0.9830|39896,0.9656|0.9825|40069,0.9677|0.9836|38179,0.9844|0.9921|38329
apple017S(21),apple,37752,0.9556|0.9773|39214,0.9574|0.9782|39265,0.9437|0.9710|39596,0.9985|0.9993|37704
apple017S(22),apple,40373,0.9635|0.9814|41637,0.9654|0.9824|41472,0.9667|0.9831|40899,0.9957|0.9979|40207
apple017S(23),apple,38825,0.9501|0.9744|40524,0.9493|0.9740|40738,0.9649|0.9821|37830,0.9777|0.9887|37962
apple017S(24),apple,37586,0.9535|0.9762|39297,0.9538|0.9764|39255,0.9577|0.9784|37598,0.9844|0.9921|37001
apple017S(25),apple,38223,0.9562|0.9776|39838,0.9518|0.9753|40079,0.9306|0.9641|39927,0.9922|0.9961|37926
apple017S(26),apple,39658,0.9593|0.9792|41084,0.9504|0.9746|41511,0.9769|0.9883|39590,0.9944|0.9972|39434
apple017S(27),apple,37329,0.9538|0.9764|38869,0.9523|0.9756|38964,0.9686|0.9841|36551,0.9840|0.9920|36735
apple017S(3),apple,39143,0.9583|0.9787|40599,0.9564|0.9777|40703,0.9844|0.9922|39240,0.9946|0.9973|38945
apple017S(4),apple,38640,0.9681|0.9838|39682,0.9691|0.9843|39683,0.9796|0.9897|38793,0.9922|0.9961|38339
