tile_global,class,page,page_local,stem,obj_idx,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,image,rendered,mean_miou,poor
1,apple,1,1,apple001S(1),0,326,229,540,401,images\apple001S(1).jpg,True,0.7675176561736312,False
2,apple,1,2,apple001S(2),0,427,214,649,392,images\apple001S(2).jpg,True,0.7289362891924802,False
3,apple,1,3,apple001T(1),0,361,184,585,399,images\apple001T(1).jpg,True,0.7255514266917906,False
4,apple,1,4,apple001T(2),0,386,193,632,426,images\apple001T(2).jpg,True,0.6943659931423543,False
5,apple,1,5,apple002S(1),0,152,124,506,456,images\apple002S(1).jpg,True,0.7740628707833994,False
6,apple,1,6,apple002S(2),0,64,195,439,530,images\apple002S(2).jpg,True,0.7764209712319351,False
7,apple,1,7,apple002S(3),0,103,205,447,525,images\apple002S(3).jpg,True,0.7557980589977964,False
8,apple,1,8,apple002S(4),0,101,204,449,512,images\apple002S(4).jpg,True,0.7554625732334652,False
9,apple,1,9,apple002S(5),0,144,187,475,505,images\apple002S(5).jpg,True,0.7885151640864062,False
10,apple,1,10,apple002S(6),0,142,192,474,511,images\apple002S(6).jpg,True,0.7647989355881305,False
11,apple,1,11,apple002S(7),0,118,169,449,459,images\apple002S(7).jpg,True,0.7711186965128853,False
12,apple,1,12,apple002S(8),0,162,169,487,459,images\apple002S(8).jpg,True,0.7826869524657014,False
13,apple,1,13,apple002T(1),0,296,70,597,379,images\apple002T(1).jpg,True,0.7166652955353582,False
14,apple,1,14,apple002T(2),0,453,80,705,335,images\apple002T(2).jpg,True,0.7332132859432982,False
15,apple,1,15,apple002T(3),0,360,82,606,329,images\apple002T(3).jpg,True,0.7650135738563473,False
16,apple,1,16,apple002T(4),0,336,64,578,316,images\apple002T(4).jpg,True,0.7358420877744549,False
17,apple,1,17,apple002T(5),0,364,101,589,317,images\apple002T(5).jpg,True,0.7322549591456714,False
18,apple,1,18,apple002T(6),0,406,98,629,334,images\apple002T(6).jpg,True,0.7369833626549562,False
19,apple,1,19,apple003S(1),0,92,147,389,435,images\apple003S(1).jpg,True,0.7668299265050258,False
20,apple,1,20,apple003S(2),0,107,198,411,479,images\apple003S(2).jpg,True,0.7522010822785998,False
21,apple,1,21,apple003S(3),0,75,214,397,485,images\apple003S(3).jpg,True,0.7811453729992599,False
22,apple,1,22,apple003S(4),0,72,188,383,460,images\apple003S(4).jpg,True,0.805299257336865,False
23,apple,1,23,apple003S(5),0,62,177,360,460,images\apple003S(5).jpg,True,0.7536880082562876,False
