epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,141.041,0.54201,0.79251,4.49576,0.00316,7.23372,0.70665,0.11766,0.17175,0.15849,0.70665,0.11766,0.17256,0.15955,0.44722,0.35726,3.68205,0.00342,0,0.000138554,0.000138554,0.000138554
2,298.251,0.50525,0.42844,3.12003,0.00301,4.8004,0.81446,0.19823,0.28988,0.27847,0.81446,0.19823,0.29,0.27443,0.30027,0.34171,3.02175,0.00239,0,0.000274807,0.000274807,0.000274807
3,435.645,0.51321,0.40245,2.53063,0.00298,3.70405,0.47409,0.48137,0.44645,0.42961,0.47409,0.48137,0.44645,0.42256,0.3724,0.29641,2.58092,0.00292,0,0.000408307,0.000408307,0.000408307
4,531.475,0.51425,0.39694,2.22159,0.00305,3.08545,0.53399,0.61737,0.61041,0.58809,0.53351,0.61598,0.6101,0.5866,0.34625,0.30083,2.31576,0.00276,0,0.000404615,0.000404615,0.000404615
5,627.59,0.4937,0.37275,1.94979,0.00295,2.59961,0.60211,0.66803,0.68856,0.66545,0.60446,0.66926,0.68892,0.66193,0.33252,0.28919,1.9883,0.00259,0,0.000400487,0.000400487,0.000400487
6,722.188,0.48291,0.37254,1.70676,0.00288,2.06035,0.58502,0.76533,0.74722,0.72509,0.58502,0.76533,0.74722,0.72385,0.29764,0.28671,1.74252,0.00249,0,0.000396358,0.000396358,0.000396358
7,819.582,0.45259,0.35112,1.50668,0.00273,1.64185,0.68111,0.73783,0.79919,0.77357,0.6816,0.73922,0.80017,0.76896,0.31067,0.27666,1.57645,0.00257,0,0.00039223,0.00039223,0.00039223
8,914.732,0.47871,0.35018,1.37092,0.0028,1.33509,0.6787,0.79641,0.82782,0.80041,0.6787,0.79641,0.8285,0.79759,0.30986,0.27193,1.46032,0.00255,0,0.000388102,0.000388102,0.000388102
9,1008.47,0.46286,0.35032,1.24906,0.00263,1.21556,0.70657,0.79902,0.84186,0.81575,0.70933,0.79836,0.84373,0.81973,0.28505,0.29624,1.29818,0.0023,0,0.000383974,0.000383974,0.000383974
10,1103.53,0.45153,0.33556,1.15714,0.00271,1.11958,0.77564,0.7828,0.86801,0.82635,0.77564,0.7828,0.86838,0.83974,0.32944,0.28978,1.18972,0.00284,0,0.000379845,0.000379845,0.000379845
11,1200.3,0.45256,0.33488,1.09892,0.00268,0.92224,0.76842,0.75823,0.83194,0.80488,0.76842,0.75823,0.83194,0.80677,0.29567,0.27176,1.16232,0.00246,0,0.000375717,0.000375717,0.000375717
12,1309.25,0.43909,0.33358,1.01129,0.0026,0.78643,0.78492,0.7823,0.8692,0.84398,0.78492,0.7823,0.8692,0.83898,0.2768,0.27465,1.03957,0.00225,0,0.000371589,0.000371589,0.000371589
13,1453.75,0.42447,0.32607,0.91269,0.00242,0.64466,0.76974,0.8089,0.8794,0.84808,0.76974,0.8089,0.87993,0.84991,0.29807,0.27083,0.96715,0.0025,0,0.00036746,0.00036746,0.00036746
14,1592.58,0.42607,0.32858,0.88755,0.00241,0.4628,0.78753,0.85847,0.89298,0.86924,0.78753,0.85847,0.89298,0.85876,0.28379,0.26675,0.84682,0.00221,0,0.000363332,0.000363332,0.000363332
15,1718.31,0.42904,0.31401,0.81445,0.00244,0.31791,0.76503,0.83948,0.88267,0.86051,0.76503,0.83948,0.88267,0.85455,0.28263,0.26935,0.85217,0.00228,0,0.000359204,0.000359204,0.000359204
16,1837.58,0.41072,0.31398,0.76965,0.00238,0.23507,0.80261,0.85775,0.91627,0.8902,0.80261,0.85775,0.91627,0.88489,0.28511,0.27406,0.75252,0.0025,0,0.000355076,0.000355076,0.000355076
17,2025.68,0.41785,0.3349,0.76134,0.00244,0.18727,0.80858,0.7964,0.86747,0.84723,0.80858,0.7964,0.86747,0.84022,0.26976,0.27389,0.78211,0.00214,0,0.000350947,0.000350947,0.000350947
18,2192.55,0.41957,0.32506,0.70532,0.00242,0.15375,0.82302,0.83033,0.89441,0.86542,0.82302,0.83033,0.89441,0.8661,0.29963,0.26368,0.70955,0.00245,0,0.000346819,0.000346819,0.000346819
19,2428.68,0.41661,0.30782,0.69306,0.0025,0.14966,0.85172,0.80705,0.89319,0.86482,0.85172,0.80705,0.89319,0.86201,0.28862,0.26894,0.69462,0.00235,0,0.000342691,0.000342691,0.000342691
20,2634.62,0.40983,0.31147,0.64978,0.00235,0.13762,0.8313,0.86664,0.92128,0.8962,0.8313,0.86664,0.92128,0.8904,0.26941,0.26938,0.59739,0.00216,0,0.000338562,0.000338562,0.000338562
21,2814.22,0.41002,0.30449,0.60624,0.00229,0.12267,0.82405,0.8457,0.90749,0.8818,0.82405,0.8457,0.90749,0.87641,0.26618,0.26442,0.59776,0.00212,0,0.000334434,0.000334434,0.000334434
22,2986.48,0.40601,0.29565,0.58867,0.00232,0.11247,0.84154,0.86554,0.92846,0.90838,0.84154,0.86554,0.92846,0.89748,0.2639,0.26309,0.55545,0.00217,0,0.000330306,0.000330306,0.000330306
23,3126.1,0.39316,0.30314,0.57024,0.00226,0.09725,0.87904,0.84689,0.92884,0.904,0.87904,0.84689,0.92884,0.9046,0.26799,0.26805,0.52867,0.0021,0,0.000326177,0.000326177,0.000326177
24,3263.61,0.41265,0.29333,0.53877,0.00235,0.09088,0.82366,0.84734,0.90003,0.87963,0.82366,0.84734,0.90003,0.87298,0.25507,0.26452,0.56893,0.00196,0,0.000322049,0.000322049,0.000322049
25,3399.48,0.39783,0.30732,0.52217,0.00227,0.0908,0.87136,0.8663,0.93278,0.90345,0.87136,0.8663,0.93278,0.90828,0.30807,0.2656,0.49759,0.00237,0,0.000317921,0.000317921,0.000317921
26,3534.97,0.39635,0.29398,0.51671,0.00231,0.08728,0.8462,0.87736,0.92774,0.90967,0.8462,0.87736,0.92774,0.90049,0.25395,0.26425,0.48311,0.002,0,0.000313792,0.000313792,0.000313792
27,3672.66,0.38321,0.29013,0.4828,0.00218,0.08117,0.86741,0.88489,0.93804,0.91622,0.86741,0.88489,0.93804,0.90951,0.26124,0.26003,0.45749,0.00212,0,0.000309664,0.000309664,0.000309664
28,3810.95,0.3853,0.29361,0.4715,0.00222,0.07915,0.85652,0.88821,0.93115,0.90822,0.85652,0.88821,0.93115,0.90036,0.27603,0.26366,0.45991,0.00217,0,0.000305536,0.000305536,0.000305536
29,3946.82,0.37108,0.28499,0.45846,0.0021,0.07884,0.89825,0.88901,0.95444,0.93598,0.89825,0.88901,0.95444,0.92469,0.24305,0.25518,0.40159,0.00191,0,0.000301408,0.000301408,0.000301408
30,4083.19,0.36665,0.27635,0.44209,0.00208,0.06993,0.87507,0.91004,0.9524,0.93253,0.87507,0.91004,0.9524,0.92521,0.2608,0.25128,0.39863,0.00213,0,0.000297279,0.000297279,0.000297279
31,4221.28,0.37723,0.27797,0.44721,0.00212,0.07787,0.8935,0.89718,0.95596,0.93083,0.8935,0.89718,0.95596,0.92325,0.25598,0.25302,0.38605,0.00206,0,0.000293151,0.000293151,0.000293151
32,4365.03,0.37971,0.2857,0.46996,0.00218,0.08467,0.88386,0.89774,0.94699,0.9239,0.88386,0.89774,0.94699,0.91267,0.25908,0.258,0.38968,0.00219,0,0.000289023,0.000289023,0.000289023
33,4501.03,0.36853,0.2832,0.42448,0.00212,0.0685,0.8994,0.89528,0.95769,0.93659,0.8994,0.89528,0.95769,0.92673,0.259,0.25595,0.37325,0.00211,0,0.000284894,0.000284894,0.000284894
34,4637.87,0.36415,0.28839,0.41111,0.00213,0.06356,0.88531,0.89586,0.95654,0.93738,0.88531,0.89586,0.95654,0.92818,0.23961,0.25136,0.34628,0.00188,0,0.000280766,0.000280766,0.000280766
35,4775.1,0.37368,0.29998,0.39848,0.00215,0.06011,0.91447,0.90112,0.95679,0.94192,0.91447,0.90112,0.95679,0.9298,0.25037,0.25059,0.34977,0.00201,0,0.000276638,0.000276638,0.000276638
