epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6811,0.50233,0.58861,2.68201,0.84697,0,0.53001,0.45359,0.44921,0.41188,0.53001,0.45359,0.4499,0.42007,0.3854,0.37191,1.32222,0.80224,0,0.000138554,0.000138554,0.000138554
2,155.336,0.45087,0.41539,1.33977,0.83267,0,0.61521,0.68751,0.72704,0.67756,0.61521,0.68751,0.72704,0.6917,0.3301,0.33388,1.13904,0.79167,0,0.000274807,0.000274807,0.000274807
3,250.737,0.42029,0.38861,1.0848,0.82873,0,0.70146,0.74801,0.79289,0.74697,0.70146,0.74801,0.79289,0.75185,0.31193,0.29802,0.97787,0.79128,0,0.000408307,0.000408307,0.000408307
4,350.876,0.41012,0.38581,0.95824,0.83245,0,0.79458,0.83145,0.87388,0.82774,0.79458,0.83145,0.87388,0.83702,0.30554,0.31209,0.86474,0.79061,0,0.000404615,0.000404615,0.000404615
5,468.008,0.39116,0.37612,0.85303,0.83051,0,0.8172,0.87004,0.90618,0.86691,0.8172,0.87004,0.90618,0.87071,0.32596,0.29005,0.81857,0.79601,0,0.000400487,0.000400487,0.000400487
6,565.321,0.38661,0.36238,0.78543,0.82784,0,0.93133,0.91173,0.96338,0.92924,0.93133,0.91173,0.96338,0.9311,0.29201,0.28269,0.65513,0.78897,0,0.000396358,0.000396358,0.000396358
7,659.508,0.36244,0.35028,0.71133,0.82675,0,0.8972,0.87005,0.94623,0.90813,0.8972,0.87005,0.94623,0.91291,0.28753,0.28504,0.69272,0.78896,0,0.00039223,0.00039223,0.00039223
8,756.784,0.36411,0.34666,0.68087,0.82446,0,0.88759,0.88853,0.94645,0.91716,0.88759,0.88853,0.94645,0.91193,0.27353,0.27655,0.66664,0.78808,0,0.000388102,0.000388102,0.000388102
9,852.575,0.35767,0.34948,0.62806,0.82206,0,0.91678,0.91244,0.95798,0.92263,0.91678,0.91244,0.95799,0.93328,0.29256,0.2836,0.6258,0.79053,0,0.000383974,0.000383974,0.000383974
10,953.568,0.35127,0.33782,0.62448,0.82369,0,0.9393,0.90347,0.96189,0.93595,0.9393,0.90347,0.96188,0.9307,0.27219,0.30133,0.57473,0.78777,0,0.000379845,0.000379845,0.000379845
11,1046.67,0.34048,0.32698,0.60053,0.82071,0,0.91199,0.91837,0.94911,0.92027,0.91199,0.91837,0.94867,0.91225,0.27355,0.27274,0.58421,0.78628,0,0.000375717,0.000375717,0.000375717
12,1141.18,0.33543,0.33375,0.58086,0.81827,0,0.9064,0.90599,0.96162,0.93458,0.9064,0.90599,0.96162,0.92827,0.25316,0.27685,0.58798,0.78414,0,0.000371589,0.000371589,0.000371589
13,1235.63,0.33389,0.32406,0.54084,0.81478,0,0.93117,0.92596,0.97022,0.9435,0.93117,0.92596,0.97082,0.93982,0.26371,0.28294,0.55068,0.78456,0,0.00036746,0.00036746,0.00036746
14,1332.73,0.32637,0.32447,0.53705,0.81513,0,0.94431,0.93482,0.97515,0.9498,0.94474,0.93531,0.97519,0.94152,0.25825,0.27156,0.49332,0.78361,0,0.000363332,0.000363332,0.000363332
15,1424.97,0.31973,0.32217,0.49801,0.81309,0,0.94501,0.93692,0.96906,0.94785,0.94501,0.93692,0.96906,0.9399,0.2587,0.26654,0.47203,0.78421,0,0.000359204,0.000359204,0.000359204
